"Step","magic-smoke-6 - reward/mean","magic-smoke-6 - reward/mean__MIN","magic-smoke-6 - reward/mean__MAX"
"0","0.1599355205517427","0.1599355205517427","0.1599355205517427"
"400","0.16406499856159062","0.16406499856159062","0.16406499856159062"
"800","0.15239892355014684","0.15239892355014684","0.15239892355014684"
"1200","0.17100869800959445","0.17100869800959445","0.17100869800959445"
"1600","0.14087514785152988","0.14087514785152988","0.14087514785152988"
"2000","0.12167992525987334","0.12167992525987334","0.12167992525987334"
"2400","0.18564906294439573","0.18564906294439573","0.18564906294439573"
"2800","0.1838381360459231","0.1838381360459231","0.1838381360459231"
"3200","0.19108224287287964","0.19108224287287964","0.19108224287287964"
"3600","0.1930354729056407","0.1930354729056407","0.1930354729056407"
"4000","0.19370657995755886","0.19370657995755886","0.19370657995755886"
"4400","0.2181475766645516","0.2181475766645516","0.2181475766645516"
"4800","0.2194582987369256","0.2194582987369256","0.2194582987369256"
"5200","0.22511391300350664","0.22511391300350664","0.22511391300350664"
"5600","0.2514321568029597","0.2514321568029597","0.2514321568029597"
"6000","0.2691910833033191","0.2691910833033191","0.2691910833033191"
"6400","0.24328233670265584","0.24328233670265584","0.24328233670265584"
"6800","0.24446799419696988","0.24446799419696988","0.24446799419696988"
"7200","0.26472426891788897","0.26472426891788897","0.26472426891788897"
"7600","0.25822382068662053","0.25822382068662053","0.25822382068662053"
"8000","0.24507170348140334","0.24507170348140334","0.24507170348140334"
"8400","0.23871929185563548","0.23871929185563548","0.23871929185563548"
"8800","0.22761159428422528","0.22761159428422528","0.22761159428422528"
"9200","0.2611693566583244","0.2611693566583244","0.2611693566583244"
"9600","0.2542337963440434","0.2542337963440434","0.2542337963440434"
"10000","0.23537423045377925","0.23537423045377925","0.23537423045377925"
"10400","0.24594629237817475","0.24594629237817475","0.24594629237817475"
"10800","0.260096770762205","0.260096770762205","0.260096770762205"
"11200","0.246733635949393","0.246733635949393","0.246733635949393"
"11600","0.2564993624688417","0.2564993624688417","0.2564993624688417"
"12000","0.24424540576306575","0.24424540576306575","0.24424540576306575"