"Step","still-voice-16 - reward/mean","still-voice-16 - reward/mean__MIN","still-voice-16 - reward/mean__MAX"
"0","0.1457567909921007","0.1457567909921007","0.1457567909921007"
"400","0.1296071761028825","0.1296071761028825","0.1296071761028825"
"800","0.11492112690341426","0.11492112690341426","0.11492112690341426"
"1200","0.15482825878106748","0.15482825878106748","0.15482825878106748"
"1600","0.17976545506169941","0.17976545506169941","0.17976545506169941"
"2000","0.1892590429594399","0.1892590429594399","0.1892590429594399"
"2400","0.20562794371552112","0.20562794371552112","0.20562794371552112"
"2800","0.2199500183584986","0.2199500183584986","0.2199500183584986"
"3200","0.1890712505475485","0.1890712505475485","0.1890712505475485"
"3600","0.19130905661206057","0.19130905661206057","0.19130905661206057"
"4000","0.23053266373685266","0.23053266373685266","0.23053266373685266"
"4400","0.23188171356597054","0.23188171356597054","0.23188171356597054"
"4800","0.23403006796049453","0.23403006796049453","0.23403006796049453"
"5200","0.23413919847833106","0.23413919847833106","0.23413919847833106"
"5600","0.2212791642833785","0.2212791642833785","0.2212791642833785"
"6000","0.2373585414510837","0.2373585414510837","0.2373585414510837"
"6400","0.22700938241559532","0.22700938241559532","0.22700938241559532"
"6800","0.23418487037906172","0.23418487037906172","0.23418487037906172"
"7200","0.22749664509736056","0.22749664509736056","0.22749664509736056"
"7600","0.22144987251505313","0.22144987251505313","0.22144987251505313"
"8000","0.2127051133446412","0.2127051133446412","0.2127051133446412"
"8400","0.21977564206233083","0.21977564206233083","0.21977564206233083"
"8800","0.21912611738646093","0.21912611738646093","0.21912611738646093"
"9200","0.2223382683142146","0.2223382683142146","0.2223382683142146"
"9600","0.2167669529675992","0.2167669529675992","0.2167669529675992"
"10000","0.22431275279393645","0.22431275279393645","0.22431275279393645"
"10400","0.23863931008128006","0.23863931008128006","0.23863931008128006"
"10800","0.23787050908406013","0.23787050908406013","0.23787050908406013"
"11200","0.22901949048641568","0.22901949048641568","0.22901949048641568"
"11500","0.25158157963232924","0.25158157963232924","0.25158157963232924"